,Month of absence,Day of the week,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Son,Pet,Body mass index,Absenteeism time in hours,Reason for absence_0,Reason for absence_1,Reason for absence_2,Seasons_1,Seasons_2,Seasons_3,Seasons_4
0,7,3,289,36,13,33,239.554,97,0,2,1,30,4,0,0,1,1,0,0,0
1,7,3,118,13,18,50,239.554,97,1,1,0,31,0,1,0,0,1,0,0,0
2,7,4,179,51,18,38,239.554,97,0,0,0,31,2,0,0,1,1,0,0,0
3,7,5,279,5,14,39,239.554,97,0,2,0,24,4,0,1,0,1,0,0,0
4,7,5,289,36,13,33,239.554,97,0,2,1,30,2,0,0,1,1,0,0,0
5,7,6,179,51,18,38,239.554,97,0,0,0,31,2,0,0,1,1,0,0,0
6,7,6,361,52,3,28,239.554,97,0,1,4,27,8,0,0,1,1,0,0,0
7,7,6,260,50,11,36,239.554,97,0,4,0,23,4,0,0,1,1,0,0,0
9,7,2,235,11,14,37,239.554,97,0,1,1,29,8,0,0,1,1,0,0,0
10,7,2,260,50,11,36,239.554,97,0,4,0,23,8,0,1,0,1,0,0,0
11,7,3,260,50,11,36,239.554,97,0,4,0,23,8,0,1,0,1,0,0,0
12,7,4,260,50,11,36,239.554,97,0,4,0,23,8,0,1,0,1,0,0,0
13,7,4,179,51,18,38,239.554,97,0,0,0,31,1,0,1,0,1,0,0,0
14,7,4,179,51,18,38,239.554,97,0,0,0,31,4,0,0,1,1,0,0,0
15,7,6,246,25,16,41,239.554,97,0,0,0,23,8,0,1,0,1,0,0,0
16,7,6,179,51,18,38,239.554,97,0,0,0,31,2,0,0,1,1,0,0,0
17,7,2,179,51,18,38,239.554,97,0,0,0,31,8,0,1,0,1,0,0,0
18,7,5,189,29,13,33,239.554,97,0,2,2,25,8,0,1,0,1,0,0,0
19,8,4,248,25,14,47,205.917,92,0,2,1,32,2,0,0,1,1,0,0,0
20,8,4,330,16,4,28,205.917,92,0,0,0,25,8,0,1,0,1,0,0,0
21,8,2,179,51,18,38,205.917,92,0,0,0,31,1,0,1,0,1,0,0,0
23,8,6,260,50,11,36,205.917,92,0,4,0,23,4,0,0,1,1,0,0,0
24,8,2,289,36,13,33,205.917,92,0,2,1,30,8,0,1,0,1,0,0,0
25,8,2,361,52,3,28,205.917,92,0,1,4,27,7,0,0,1,1,0,0,0
26,8,3,289,36,13,33,205.917,92,0,2,1,30,1,0,0,1,1,0,0,0
27,8,4,157,27,6,29,205.917,92,0,0,0,22,4,0,0,1,1,0,0,0
28,8,4,289,36,13,33,205.917,92,0,2,1,30,8,0,1,0,1,0,0,0
29,8,6,179,51,18,38,205.917,92,0,0,0,31,2,0,0,1,1,0,0,0
30,8,2,179,51,18,38,205.917,92,0,0,0,31,8,0,1,0,1,0,0,0
31,8,5,235,29,12,48,205.917,92,0,1,5,33,8,0,1,0,1,0,0,0
32,8,5,235,11,14,37,205.917,92,0,1,1,29,4,0,0,1,1,0,0,0
33,8,2,235,29,12,48,205.917,92,0,1,5,33,8,0,1,0,1,0,0,0
34,8,2,179,51,18,38,205.917,92,0,0,0,31,2,0,0,1,1,0,0,0
35,8,2,361,52,3,28,205.917,92,0,1,4,27,1,0,0,1,1,0,0,0
36,8,3,289,36,13,33,205.917,92,0,2,1,30,8,0,0,1,1,0,0,0
37,8,5,291,50,12,32,205.917,92,0,0,0,23,4,0,1,0,1,0,0,0
38,8,6,235,29,12,48,205.917,92,0,1,5,33,8,0,0,1,1,0,0,0
39,8,6,260,50,11,36,205.917,92,0,4,0,23,4,0,0,1,1,0,0,0
40,9,3,184,42,7,27,241.476,92,0,0,0,21,2,0,0,1,1,0,0,0
41,9,2,118,10,10,37,241.476,92,0,0,0,28,4,0,0,1,1,0,0,0
42,9,3,179,51,18,38,241.476,92,0,0,0,31,4,0,0,1,1,0,0,0
43,9,3,235,20,13,43,241.476,92,0,1,0,38,8,0,1,0,1,0,0,0
44,9,4,155,12,14,34,241.476,92,0,2,0,25,2,0,0,1,1,0,0,0
45,9,2,118,10,10,37,241.476,92,0,0,0,28,3,0,0,1,1,0,0,0
46,9,3,179,51,18,38,241.476,92,0,0,0,31,3,0,0,1,1,0,0,0
47,9,5,291,31,12,40,241.476,92,0,1,1,25,4,0,0,1,1,0,0,0
